index	max_depth	max_features	min_samples_leaf	min_samples_split	n_estimators
534	5	0.9	100	40	200
535	5	0.9	100	40	400
536	5	0.9	100	40	800
537	5	0.9	100	100	200
538	5	0.9	100	100	400
539	5	0.9	100	100	800
540	15	0.01	1	2	200
541	15	0.01	1	2	400
542	15	0.01	1	2	800
543	15	0.01	1	5	200
544	15	0.01	1	5	400
545	15	0.01	1	5	800
546	15	0.01	1	10	200
547	15	0.01	1	10	400
548	15	0.01	1	10	800
549	15	0.01	1	20	200
550	15	0.01	1	20	400
551	15	0.01	1	20	800
552	15	0.01	1	40	200
553	15	0.01	1	40	400
554	15	0.01	1	40	800
555	15	0.01	1	100	200
556	15	0.01	1	100	400
557	15	0.01	1	100	800
558	15	0.01	10	2	200
559	15	0.01	10	2	400
560	15	0.01	10	2	800
561	15	0.01	10	5	200
562	15	0.01	10	5	400
563	15	0.01	10	5	800
564	15	0.01	10	10	200
565	15	0.01	10	10	400
566	15	0.01	10	10	800
567	15	0.01	10	20	200
568	15	0.01	10	20	400
569	15	0.01	10	20	800
570	15	0.01	10	40	200
571	15	0.01	10	40	400
572	15	0.01	10	40	800
573	15	0.01	10	100	200
574	15	0.01	10	100	400
575	15	0.01	10	100	800
576	15	0.01	20	2	200
577	15	0.01	20	2	400
578	15	0.01	20	2	800
579	15	0.01	20	5	200
580	15	0.01	20	5	400
581	15	0.01	20	5	800
582	15	0.01	20	10	200
583	15	0.01	20	10	400
584	15	0.01	20	10	800
585	15	0.01	20	20	200
586	15	0.01	20	20	400
587	15	0.01	20	20	800
588	15	0.01	20	40	200
589	15	0.01	20	40	400
590	15	0.01	20	40	800
591	15	0.01	20	100	200
592	15	0.01	20	100	400
593	15	0.01	20	100	800
594	15	0.01	40	2	200
595	15	0.01	40	2	400
596	15	0.01	40	2	800
597	15	0.01	40	5	200
598	15	0.01	40	5	400
599	15	0.01	40	5	800
600	15	0.01	40	10	200
601	15	0.01	40	10	400
602	15	0.01	40	10	800
603	15	0.01	40	20	200
604	15	0.01	40	20	400
605	15	0.01	40	20	800
606	15	0.01	40	40	200
607	15	0.01	40	40	400
608	15	0.01	40	40	800
609	15	0.01	40	100	200
610	15	0.01	40	100	400
611	15	0.01	40	100	800
612	15	0.01	100	2	200
613	15	0.01	100	2	400
614	15	0.01	100	2	800
615	15	0.01	100	5	200
616	15	0.01	100	5	400
617	15	0.01	100	5	800
618	15	0.01	100	10	200
619	15	0.01	100	10	400
620	15	0.01	100	10	800
621	15	0.01	100	20	200
622	15	0.01	100	20	400
623	15	0.01	100	20	800
624	15	0.01	100	40	200
625	15	0.01	100	40	400
626	15	0.01	100	40	800
627	15	0.01	100	100	200
628	15	0.01	100	100	400
629	15	0.01	100	100	800
630	15	0.1	1	2	200
631	15	0.1	1	2	400
632	15	0.1	1	2	800
633	15	0.1	1	5	200
634	15	0.1	1	5	400
635	15	0.1	1	5	800
636	15	0.1	1	10	200
637	15	0.1	1	10	400
638	15	0.1	1	10	800
639	15	0.1	1	20	200
640	15	0.1	1	20	400
641	15	0.1	1	20	800
642	15	0.1	1	40	200
643	15	0.1	1	40	400
644	15	0.1	1	40	800
645	15	0.1	1	100	200
646	15	0.1	1	100	400
647	15	0.1	1	100	800
648	15	0.1	10	2	200
649	15	0.1	10	2	400
650	15	0.1	10	2	800
651	15	0.1	10	5	200
652	15	0.1	10	5	400
653	15	0.1	10	5	800
654	15	0.1	10	10	200
655	15	0.1	10	10	400
656	15	0.1	10	10	800
657	15	0.1	10	20	200
658	15	0.1	10	20	400
659	15	0.1	10	20	800
660	15	0.1	10	40	200
661	15	0.1	10	40	400
662	15	0.1	10	40	800
663	15	0.1	10	100	200
664	15	0.1	10	100	400
665	15	0.1	10	100	800
666	15	0.1	20	2	200
667	15	0.1	20	2	400
668	15	0.1	20	2	800
669	15	0.1	20	5	200
670	15	0.1	20	5	400
671	15	0.1	20	5	800
672	15	0.1	20	10	200
673	15	0.1	20	10	400
674	15	0.1	20	10	800
675	15	0.1	20	20	200
676	15	0.1	20	20	400
677	15	0.1	20	20	800
678	15	0.1	20	40	200
679	15	0.1	20	40	400
680	15	0.1	20	40	800
681	15	0.1	20	100	200
682	15	0.1	20	100	400
683	15	0.1	20	100	800
684	15	0.1	40	2	200
685	15	0.1	40	2	400
686	15	0.1	40	2	800
687	15	0.1	40	5	200
688	15	0.1	40	5	400
689	15	0.1	40	5	800
690	15	0.1	40	10	200
691	15	0.1	40	10	400
692	15	0.1	40	10	800
693	15	0.1	40	20	200
694	15	0.1	40	20	400
695	15	0.1	40	20	800
696	15	0.1	40	40	200
697	15	0.1	40	40	400
698	15	0.1	40	40	800
699	15	0.1	40	100	200
700	15	0.1	40	100	400
701	15	0.1	40	100	800
702	15	0.1	100	2	200
703	15	0.1	100	2	400
704	15	0.1	100	2	800
705	15	0.1	100	5	200
706	15	0.1	100	5	400
707	15	0.1	100	5	800
708	15	0.1	100	10	200
709	15	0.1	100	10	400
710	15	0.1	100	10	800
711	15	0.1	100	20	200
712	15	0.1	100	20	400
713	15	0.1	100	20	800
714	15	0.1	100	40	200
715	15	0.1	100	40	400
716	15	0.1	100	40	800
717	15	0.1	100	100	200
718	15	0.1	100	100	400
719	15	0.1	100	100	800
720	15	0.25	1	2	200
721	15	0.25	1	2	400
722	15	0.25	1	2	800
723	15	0.25	1	5	200
724	15	0.25	1	5	400
725	15	0.25	1	5	800
726	15	0.25	1	10	200
727	15	0.25	1	10	400
728	15	0.25	1	10	800
729	15	0.25	1	20	200
730	15	0.25	1	20	400
731	15	0.25	1	20	800
732	15	0.25	1	40	200
733	15	0.25	1	40	400
734	15	0.25	1	40	800
735	15	0.25	1	100	200
736	15	0.25	1	100	400
737	15	0.25	1	100	800
738	15	0.25	10	2	200
739	15	0.25	10	2	400
740	15	0.25	10	2	800
741	15	0.25	10	5	200
742	15	0.25	10	5	400
743	15	0.25	10	5	800
744	15	0.25	10	10	200
745	15	0.25	10	10	400
746	15	0.25	10	10	800
747	15	0.25	10	20	200
748	15	0.25	10	20	400
749	15	0.25	10	20	800
750	15	0.25	10	40	200
751	15	0.25	10	40	400
752	15	0.25	10	40	800
753	15	0.25	10	100	200
754	15	0.25	10	100	400
755	15	0.25	10	100	800
756	15	0.25	20	2	200
757	15	0.25	20	2	400
758	15	0.25	20	2	800
759	15	0.25	20	5	200
760	15	0.25	20	5	400
761	15	0.25	20	5	800
762	15	0.25	20	10	200
763	15	0.25	20	10	400
764	15	0.25	20	10	800
765	15	0.25	20	20	200
766	15	0.25	20	20	400
767	15	0.25	20	20	800
768	15	0.25	20	40	200
769	15	0.25	20	40	400
770	15	0.25	20	40	800
771	15	0.25	20	100	200
772	15	0.25	20	100	400
773	15	0.25	20	100	800
774	15	0.25	40	2	200
775	15	0.25	40	2	400
776	15	0.25	40	2	800
777	15	0.25	40	5	200
778	15	0.25	40	5	400
779	15	0.25	40	5	800
780	15	0.25	40	10	200
781	15	0.25	40	10	400
782	15	0.25	40	10	800
783	15	0.25	40	20	200
784	15	0.25	40	20	400
785	15	0.25	40	20	800
786	15	0.25	40	40	200
787	15	0.25	40	40	400
788	15	0.25	40	40	800
789	15	0.25	40	100	200
790	15	0.25	40	100	400
791	15	0.25	40	100	800
792	15	0.25	100	2	200
793	15	0.25	100	2	400
794	15	0.25	100	2	800
795	15	0.25	100	5	200
796	15	0.25	100	5	400
