	index	max_depth	max_features	mean_score	min_samples_leaf	min_samples_split	n_estimators	run_time
326	791.0	15.0	0.25	0.731	40.0	100.0	800.0	173.764
327	1891.0	50.0	0.5	0.833	1.0	2.0	400.0	320.842
328	1150.0	30.0	0.01	0.212	40.0	100.0	400.0	19.296
329	2723.0	150.0	0.01	0.337	10.0	5.0	800.0	61.016999999999996
330	1512.0	30.0	0.75	0.764	100.0	2.0	200.0	84.417
331	906.0	15.0	0.75	0.828	1.0	10.0	200.0	111.208
332	2548.0	100.0	0.75	0.8240000000000001	10.0	20.0	400.0	482.079
333	824.0	15.0	0.5	0.82	1.0	40.0	800.0	402.332
334	2641.0	100.0	0.9	0.821	10.0	40.0	400.0	269.704
335	2157.0	50.0	0.9	0.767	100.0	100.0	200.0	94.36200000000001
336	1388.0	30.0	0.5	0.8029999999999999	20.0	2.0	800.0	306.144
337	2753.0	150.0	0.01	0.27	20.0	100.0	800.0	22.892
338	1567.0	30.0	0.9	0.813	20.0	2.0	400.0	251.34099999999998
339	1695.0	50.0	0.01	0.11800000000000001	100.0	5.0	200.0	3.767
340	1827.0	50.0	0.25	0.7929999999999999	10.0	20.0	200.0	104.961
341	113.0	5.0	0.1	0.5379999999999999	10.0	5.0	800.0	221.622
342	1838.0	50.0	0.25	0.77	20.0	2.0	800.0	198.359
343	2576.0	100.0	0.75	0.794	40.0	2.0	800.0	881.54
344	698.0	15.0	0.1	0.612	40.0	40.0	800.0	69.815
345	672.0	15.0	0.1	0.6659999999999999	20.0	10.0	200.0	53.305
346	3059.0	150.0	0.5	0.7440000000000001	100.0	100.0	800.0	475.565
347	802.0	15.0	0.25	0.6709999999999999	100.0	20.0	400.0	60.021
348	2517.0	100.0	0.5	0.741	100.0	100.0	200.0	107.346
349	2796.0	150.0	0.1	0.768	1.0	10.0	200.0	38.089
350	2192.0	100.0	0.01	0.332	10.0	40.0	800.0	30.801
351	2596.0	100.0	0.75	0.763	100.0	5.0	400.0	155.83
352	2589.0	100.0	0.75	0.7909999999999999	40.0	100.0	200.0	161.29399999999998
353	2119.0	50.0	0.9	0.813	20.0	40.0	400.0	687.791
354	1103.0	30.0	0.01	0.335	10.0	5.0	800.0	29.715
355	2393.0	100.0	0.25	0.754	20.0	100.0	800.0	166.601
356	2711.0	150.0	0.01	0.478	1.0	20.0	800.0	43.198
357	912.0	15.0	0.75	0.8220000000000001	1.0	40.0	200.0	129.753
358	1846.0	50.0	0.25	0.77	20.0	20.0	400.0	83.21600000000001
359	1726.0	50.0	0.1	0.6920000000000001	1.0	100.0	400.0	50.37
360	3045.0	150.0	0.5	0.7440000000000001	100.0	5.0	200.0	65.952
361	2657.0	100.0	0.9	0.813	20.0	20.0	800.0	494.792
362	1611.0	30.0	0.9	0.767	100.0	20.0	200.0	101.336
363	1175.0	30.0	0.1	0.775	1.0	5.0	800.0	235.077
364	1795.0	50.0	0.1	0.522	100.0	40.0	400.0	80.55199999999999
365	1835.0	50.0	0.25	0.767	10.0	100.0	800.0	176.05900000000003
