	Avg_F2	Avg_GeoMean	Avg_Precision	Avg_ROCAUC	Avg_Recall	Avg_ThrshAcc	index	max_depth	max_features	min_samples_leaf	min_samples_split	n_estimators	run_time
210	0.26765100000000003	0.324	0.549179	0.855175	0.30251100000000003	0.8900290000000001	1098.0	300.0	0.25	5.0	50.0	100.0	1513.89
211	0.166301	0.22699999999999998	0.515203	0.8365030000000001	0.199486	0.883785	129.0	20.0	0.1	1.0	100.0	100.0	892.438
212	0.0048259999999999996	0.057999999999999996	0.47332299999999994	0.805657	0.030088	0.8730100000000001	406.0	50.0	0.03	50.0	100.0	200.0	1438.001
213	0.279496	0.34600000000000003	0.542216	0.852527	0.315911	0.890034	564.0	50.0	0.49	10.0	2.0	100.0	2243.355
214	0.184339	0.22699999999999998	0.472163	0.8145140000000001	0.20951399999999998	0.883617	1188.0	300.0	0.49	500.0	2.0	100.0	2004.891
215	4e-06	0.001	0.460977	0.789007	2.3e-05	0.8726459999999999	316.0	50.0	0.01	5.0	10.0	200.0	910.928
216	0.003145	0.053	0.486183	0.8075939999999999	0.023879	0.872891	908.0	300.0	0.01	1.0	50.0	500.0	3964.1059999999998
217	4e-06	0.006	0.4623	0.7916569999999999	0.001124	0.8726459999999999	621.0	100.0	0.01	5.0	100.0	100.0	523.437
218	0.0	0.0	0.451694	0.783718	6e-06	0.8726450000000001	331.0	50.0	0.01	10.0	50.0	200.0	1116.895
219	0.0	0.0	0.428097	0.767409	0.0	0.8726450000000001	942.0	300.0	0.01	50.0	50.0	100.0	496.506
220	0.235841	0.278	0.516315	0.839909	0.271482	0.887094	1186.0	300.0	0.49	50.0	100.0	200.0	3533.5229999999997
221	0.108571	0.198	0.523998	0.836884	0.156192	0.880461	967.0	300.0	0.03	1.0	50.0	200.0	1378.162
222	0.254267	0.29600000000000004	0.54275	0.8523860000000001	0.289961	0.889106	1101.0	300.0	0.25	5.0	100.0	100.0	1615.63
223	0.256758	0.305	0.544128	0.852665	0.292118	0.8892620000000001	811.0	100.0	0.25	10.0	50.0	200.0	3629.665
224	0.0	0.0	0.454234	0.791071	0.0	0.8726450000000001	98.0	20.0	0.03	50.0	2.0	500.0	2079.291
225	0.18548699999999999	0.22699999999999998	0.47254399999999996	0.814458	0.209919	0.883692	591.0	50.0	0.49	500.0	10.0	100.0	1399.862
